Calories,Protein,Carbs,Fat,C_type_Beverage,C_type_Chinese,C_type_Dessert,C_type_French,C_type_Healthy Food,C_type_Indian,C_type_Italian,C_type_Japanese,C_type_Korean,C_type_Mexican,C_type_Nepalese,C_type_Snack,C_type_Spanish,C_type_Thai,C_type_Vietnames,Veg_Non_veg,all,almonds,and,baking,basil,bay,black,boneless,bread,brown,butter,capsicum,cardamom,carrot,castor,celery,cheese,chicken,chilli,chillies,chocolate,cilantro,cinnamon,cloves,coconut,coriander,corn,cream,crushed,cucumber,cumin,curd,curry,cut,dark,dried,dry,egg,eggs,essence,fish,flakes,flour,for,fresh,garam,garlic,ghee,ginger,green,ground,honey,into,juice,lamb,leaves,lemon,masala,milk,mint,mustard,of,oil,olive,onion,onions,or,parsley,paste,pepper,pieces,potato,powder,purpose,red,refined,rice,salt,sauce,seeds,sesame,soda,soy,stock,sugar,the,thyme,to,tomato,tomatoes,turmeric,vanilla,vegetable,vinegar,water,white,whole,wine,yellow,yogurt,happy,neutral,stressed,food_id
-0.689954738,-0.830937973,0.093870602,-0.364651121,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,0,0.256136283,0.232026175,0,0,0,0.202364074,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.260650565,0,0,0,0,0.307749997,0,0,0,0,0,0,0,0,0,0,0,0.273301732,0,0.263014664,0,0,0,0,0,0,0,0,0,0.225944196,0,0,0,0,0,0,0,0.303493819,0.133288278,0.21140095,0.172884556,0,0,0,0,0.175064112,0,0,0,0,0.184482482,0,0,0,0,0,0,0,0,0,0,0.333685906,0,0,0,0,0,0,0,0.27903247,0.209036851,0,0,0,0,0,1,0,0,11
-0.989918296,-0.926910322,0.382152161,-0.745454574,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,0,0,0,0,0,0,0,0,0,0,0,0,0,0.308245404,0,0.357356472,0,0,0,0,0,0,0,0.285559927,0,0,0.339085509,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.170245055,0,0,0,0,0.331219582,0,0.262364326,0,0,0.244093364,0,0,0,0,0,0,0,0,0,0,0.339085509,0,0,0,0,0.169084426,0,0,0,0,0.14123529,0,0,0,0,0,0,0,0.387473012,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,12
-1.589845411,-1.11885502,0.766527573,-2.078266659,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.454777605,0,0,0,0,0,0,0.543564428,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.414783306,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.570674909,1,0,0,13
-0.539972959,-0.734965624,0.382152161,-0.555052848,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.365847052,0,0,0,0,0,0,0,0.369165282,0,0,0.445036922,0,0,0,0,0,0.383604128,0,0,0.334966474,0,0,0,0,0.245718589,0,0,0,0,0,0.298420161,0,0,0,0,0,0,0.187082362,0,0.242659382,0,0,0,0,0,0,0,0,0,0,0,0,0.170718475,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,15
0.059954156,-0.830937973,0.574339867,0.016152332,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,0,0,0,0,0,0,0,0,0,0,0,0,0.251142459,0,0,0,0,0,0.187562148,0,0,0,0,0,0,0,0,0.232637783,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.275917438,0.144975735,0,0.170954526,0,0,0,0,0,0,0,0,0.262492816,0,0,0,0,0.131800289,0,0,0,0,0,0.430464213,0,0,0,0.575949506,0,0.182422976,0.26498904,0,0.120271863,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,16
-0.389991181,-0.926910322,-0.386598663,0.587357511,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,TRUE,0,0.281242365,0,0,0.34287194,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.270024584,0,0,0,0,0.313200213,0,0,0,0,0,0,0,0,0,0,0,0,0,0.205368698,0.288794954,0,0,0.160983198,0,0,0,0,0,0,0,0,0,0.23081393,0,0,0,0,0,0.146352988,0.232122143,0,0,0,0,0,0.192223625,0,0,0,0,0,0.294247746,0,0.267103308,0,0,0,0,0,0,0.197231,0,0,0,0.256527402,0,0,0,0,0,0.229526319,0,0,0,0,0,0,0,1,17
-0.989918296,-0.830937973,-0.57878637,0.016152332,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,0,0.668127159,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.744047108,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,18
-0.689954738,-1.022882671,0.093870602,-0.364651121,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,TRUE,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.203757251,0,0,0,0,0.264171491,0,0,0,0,0.306411238,0,0.242713241,0,0,0,0,0,0,0,0,0,0,0,0.40183419,0,0,0,0.157493702,0.299741601,0,0,0,0,0,0,0,0,0,0.285157826,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.312840008,0,0.198174336,0.287869588,0,0.130656768,0,0,0,0,0,0,0,0,0,0,0.250966876,0,0,0,0,0,0,0,0.279995435,0,0,0,0,0,1,19
-0.839936517,-0.830937973,-0.194410957,-0.745454574,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,TRUE,0,0,0.209087543,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.223350688,0,0,0,0,0,0,0,0,0,0,0.203606842,0,0,0,0,0,0.281393127,0,0,0,0,0,0.67417987,0,0,0,0,0,0.155792798,0.157756878,0,0,0,0,0,0,0,0,0,0,0,0,0.120111097,0,0,0,0,0,0,0,0,0,0.131217329,0,0,0,0.191592476,0.109605112,0,0.196143459,0,0,0,0,0,0.300696963,0,0.269861754,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,20
0.80986305,-0.734965624,1.054809133,0.587357511,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,0,0.612661643,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.418742183,0,0,0,0,0,0,0,0,0.51449131,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.429650308,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,21
